BBC News,https://bbc.com,86,C,UK
El Pais,https://english.elpais.com,569,C,ES
Wall Street Journal,https://www.wsj.com,421,C,US
Daily Mail,https://dailymail.co.uk,254,R,UK
Fox News,https://foxnews.com,169,R,US
New York Times,https://nytimes.com,79,L,US
Xinhua,http://xinhuanet.com/english/,20,L,CN
Reuters,https://reuters.com,408,C,UK
Russia Today,https://rt.com,321,R,RU
The Guardian,https://theguardian.com/international,136,L,UK
Times of India,https://indiatimes.com,131,C,IN
Washington Post,https://washingtonpost.com,172,L,US
